Harry Potter and the Philosopher's Stone,J. K Rowling,1997
The Little Prince,Antoine de Saint-Exupéry,1943
Dream of the Red Chamber,Cao Xueqin,1800
The Hobbit,J. R. R. Tolkien,1937
The Lion the Witch and the Wardrobe,C. S. Lewis,1950
She: A History of Adventure,H. Rider Haggard,1887
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,1881
The Da Vinci Code,Dan Brown,2003
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999
Harry Potter and the Goblet of Fire,J. K. Rowling,2000
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005
Harry Potter and the Deathly Hallows,J. K. Rowling,2007
The Alchemist (O Alquimista),Paulo Coelho,1988
The Catcher in the Rye,J. D. Salinger,1951
The Bridges of Madison County,Robert James Waller,1992
Ben-Hur: A Tale of the Christ,Lew Wallace,1880
You Can Heal Your Life,Louise Hay,1984
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,1967
Lolita,Vladimir Nabokov,1955
Heidi,Johanna Spyri,1880
The Common Sense Book of Baby and Child Care,Dr. Benjamin Spock,1946
Anne of Green Gables,Lucy Maud Montgomery,1908
Black Beauty,Anna Sewell,1877
The Name of the Rose (Il Nome della Rosa),Umberto Eco,1980
The Eagle Has Landed,Jack Higgins,1975
Watership Down,Richard Adams,1972
The Hite Report,Shere Hite,1976
Charlotte's Web,E. B. White; illustrated by Garth Williams,1952
The Ginger Man,J. P. Donleavy,1955
The Tale of Peter Rabbit,Beatrix Potter,1902
Jonathan Livingston Seagull,Richard Bach,1970
The Very Hungry Caterpillar,Eric Carle,1969
A Message to Garcia,Elbert Hubbard,1899
To Kill a Mockingbird,Harper Lee,1960
Flowers in the Attic,V. C. Andrews,1979
Cosmos,Carl Sagan,1980
Sophie's World (Sofies verden),Jostein Gaarder,1991
Angels & Demons,Dan Brown,2000
Kane and Abel,Jeffrey Archer,1979
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,1932
War and Peace (Война и мир),Leo Tolstoy,1869
The Diary of Anne Frank (Het Achterhuis),Anne Frank,1947
Your Erroneous Zones,Wayne Dyer,1976
The Thorn Birds,Colleen McCullough,1977
The Purpose Driven Life,Rick Warren,2002
The Kite Runner,Khaled Hosseini,2003
Valley of the Dolls,Jacqueline Susann,1966
The Great Gatsby,F. Scott Fitzgerald,1925
Gone with the Wind,Margaret Mitchell,1936
Rebecca,Daphne du Maurier,1938
Nineteen Eighty-Four,George Orwell,1949
The Revolt of Mamie Stover,William Bradford Huie,1951
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,2005
The Lost Symbol,Dan Brown,2009
The Hunger Games,Suzanne Collins,2008
James and the Giant Peach,Roald Dahl,1961
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,1945
Who Moved My Cheese?,Spencer Johnson,1998
A Brief History of Time,Stephen Hawking,1988
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,1788
Lust for Life,Irving Stone,1934
The Wind in the Willows,Kenneth Grahame,1908
The 7 Habits of Highly Effective People,Stephen R. Covey,1989
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,1935
The Celestine Prophecy,James Redfield,1993
The Fault in Our Stars,John Green,2012
The Shack,William P. Young,2007
Uncle Styopa (Дядя Степа),Sergey Mikhalkov,1936
The Godfather,Mario Puzo,1969
Love Story,Erich Segal,1970
Catching Fire,Suzanne Collins,2009
Mockingjay,Suzanne Collins,2010
Kitchen,Banana Yoshimoto,1988
Andromeda Nebula,Ivan Yefremov,1957
Autobiography of a Yogi,Paramahansa Yogananda,1946
Gone Girl,Gillian Flynn,2012
The Girl on the Train,Paula Hawkins,2015
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,1929
The Bermuda Triangle,Charles Berlitz,1974
Things Fall Apart,Chinua Achebe,1958
Animal Farm,George Orwell,1945
Wolf Totem (狼图腾),Jiang Rong,2004
The Happy Hooker: My Own Story,Xaviera Hollander,1971
Jaws,Peter Benchley,1974
Love You Forever,Robert Munsch,1986
The Women's Room,Marilyn French,1977
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,1984
Adventures of Huckleberry Finn,Mark Twain,1885
"The Secret Diary of Adrian Mole Aged 13¾",Sue Townsend,1982
Pride and Prejudice,Jane Austen,1813
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,1950
